timestamp,temperature,humidity
2025-10-15 22:19:38,22.48,71.15
2025-10-15 22:19:43,27.79,49.55
2025-10-15 22:19:48,26.31,73.03
2025-10-15 22:19:53,25.16,39.18
2025-10-15 22:19:58,22.5,67.6
2025-10-15 22:20:03,20.84,59.03
2025-10-15 22:20:08,28.86,50.06
2025-10-15 22:20:13,23.27,40.68
2025-10-15 22:20:18,22.0,42.33
2025-10-15 22:20:23,29.73,44.99
2025-10-15 22:20:28,24.73,64.35
2025-10-15 22:20:33,30.18,31.63
2025-10-15 22:20:38,24.15,70.07
2025-10-15 22:20:43,32.34,60.34
2025-10-15 22:20:48,22.16,46.04
2025-10-15 22:20:53,22.94,44.49
2025-10-15 22:20:58,20.74,45.74
2025-10-15 22:21:03,26.04,71.23
2025-10-15 22:21:08,32.17,65.99
2025-10-15 22:21:13,20.23,33.09
2025-10-15 22:21:18,34.54,75.28
2025-10-15 22:21:23,20.44,66.43
2025-10-15 22:21:28,33.1,79.79
2025-10-15 22:21:33,21.31,54.87
2025-10-15 22:21:38,25.38,75.73
2025-10-15 22:21:43,29.17,75.89
2025-10-15 22:21:48,22.49,70.92
2025-10-15 22:21:53,29.85,42.69
2025-10-15 22:21:58,33.39,38.2
2025-10-15 22:22:03,26.49,53.68
2025-10-15 22:22:08,34.44,64.32
2025-10-15 22:22:13,26.84,63.27
2025-10-15 22:22:18,31.22,56.32
2025-10-15 22:22:23,30.7,33.37
2025-10-15 22:22:28,32.72,43.92
2025-10-15 22:22:33,24.31,66.36
2025-10-15 22:22:38,26.53,44.78
2025-10-15 22:22:43,29.01,30.12
2025-10-15 22:22:48,24.46,68.39
2025-10-15 22:22:53,24.05,75.88
2025-10-15 22:22:58,23.14,46.94
2025-10-15 22:23:03,24.04,70.15
2025-10-15 22:23:08,22.59,35.7
2025-10-15 22:23:13,28.64,33.11
2025-10-15 22:23:18,34.14,40.0
2025-10-15 22:23:23,24.99,44.38
2025-10-15 22:23:28,23.48,67.43
2025-10-15 22:23:33,34.54,41.87
2025-10-15 22:23:38,23.92,40.96
2025-10-15 22:23:43,26.74,60.36
2025-10-15 22:23:48,34.65,55.59
2025-10-15 22:23:53,33.65,42.34
2025-10-15 22:23:58,25.51,75.82
2025-10-15 22:24:03,22.75,40.92
2025-10-15 22:24:08,34.16,75.59
2025-10-15 22:24:13,20.47,35.54
2025-10-15 22:24:18,22.75,70.37
2025-10-15 22:24:23,32.57,56.0
2025-10-15 22:24:28,34.21,32.49
2025-10-15 22:24:33,24.77,72.8
2025-10-15 22:24:38,22.51,45.48
2025-10-15 22:24:43,34.29,72.33
2025-10-15 22:24:48,24.8,64.23
2025-10-15 22:24:53,24.66,40.86
2025-10-15 22:24:58,24.24,51.88
2025-10-15 22:25:04,24.69,60.79
2025-10-15 22:25:09,23.41,59.48
2025-10-15 22:25:14,24.69,34.14
2025-10-15 22:25:19,26.79,73.61
2025-10-15 22:25:24,28.85,58.38
2025-10-15 22:25:29,22.19,71.57
2025-10-15 22:25:34,27.86,77.2
2025-10-15 22:25:39,28.1,67.42
2025-10-15 22:25:44,22.45,59.81
2025-10-15 22:25:49,21.18,30.06
2025-10-15 22:25:54,34.15,60.7
2025-10-15 22:25:59,29.43,62.94
2025-10-15 22:26:04,33.1,65.28
